X;Y
0.00;1.500
0.10;1.527
0.20;1.554
0.30;1.580
0.40;1.607
0.50;1.634
0.60;1.661
0.70;1.688
0.80;1.714
0.90;1.741
1.00;1.768
1.10;1.795
1.20;1.821
1.30;1.848
1.40;1.875
1.50;1.902
1.60;1.928
1.70;1.955
1.80;1.982
1.90;2.009
2.00;2.036
2.10;2.062
2.20;2.089
2.30;2.116
2.40;2.143
2.50;2.169
2.60;2.196
2.70;2.223
2.80;2.250
2.90;2.276
3.00;2.303
3.10;2.330
3.20;2.356
3.30;2.383
3.40;2.410
3.50;2.437
3.60;2.463
3.70;2.490
3.80;2.517
3.90;2.544
4.00;2.570
4.10;2.597
4.20;2.624
4.30;2.650
4.40;2.677
4.50;2.704
4.60;2.731
4.70;2.757
4.80;2.784
4.90;2.811
5.00;2.837
5.10;2.864
5.20;2.891
5.30;2.917
5.40;2.944
5.50;2.971
5.60;2.997
5.70;3.024
5.80;3.051
5.90;3.077
6.00;3.104
6.10;3.131
6.20;3.157
6.30;3.184
6.40;3.211
6.50;3.237
6.60;3.264
6.70;3.291
6.80;3.317
6.90;3.344
7.00;3.371
7.10;3.397
7.20;3.424
7.30;3.451
7.40;3.477
7.50;3.504
7.60;3.530
7.70;3.557
7.80;3.584
7.90;3.610
8.00;3.637
8.10;3.664
8.20;3.690
8.30;3.717
8.40;3.743
8.50;3.770
8.60;3.797
8.70;3.823
8.80;3.850
8.90;3.876
9.00;3.903
9.10;3.930
9.20;3.956
9.30;3.983
9.40;4.009
9.50;4.036
9.60;4.062
9.70;4.089
9.80;4.116
9.90;4.142
10.00;4.169
10.10;4.195
10.20;4.222
10.30;4.248
10.40;4.275
10.50;4.301
10.60;4.328
10.70;4.354
10.80;4.381
10.90;4.408
11.00;4.434
11.10;4.461
11.20;4.487
11.30;4.514
11.40;4.540
11.50;4.567
11.60;4.593
11.70;4.620
11.80;4.646
11.90;4.673
12.00;4.699
12.10;4.726
12.20;4.752
12.30;4.779
12.40;4.805
12.50;4.831
12.60;4.858
12.70;4.884
12.80;4.911
12.90;4.937
13.00;4.964
13.10;4.990
13.20;5.017
13.30;5.043
13.40;5.070
13.50;5.096
13.60;5.122
13.70;5.149
13.80;5.175
13.90;5.202
14.00;5.228
14.10;5.255
14.20;5.281
14.30;5.307
14.40;5.334
14.50;5.360
14.60;5.387
14.70;5.413
14.80;5.439
14.90;5.466
15.00;5.492
15.10;5.519
15.20;5.545
15.30;5.571
15.40;5.598
15.50;5.624
15.60;5.650
15.70;5.677
15.80;5.703
15.90;5.729
16.00;5.756
16.10;5.782
16.20;5.808
16.30;5.835
16.40;5.861
16.50;5.887
16.60;5.914
16.70;5.940
16.80;5.966
16.90;5.993
17.00;6.019
17.10;6.045
17.20;6.072
17.30;6.098
17.40;6.124
17.50;6.150
17.60;6.177
17.70;6.203
17.80;6.229
17.90;6.255
18.00;6.282
18.10;6.308
18.20;6.334
18.30;6.360
18.40;6.387
18.50;6.413
18.60;6.439
18.70;6.465
18.80;6.492
18.90;6.518
19.00;6.544
19.10;6.570
19.20;6.596
19.30;6.623
19.40;6.649
19.50;6.675
19.60;6.701
19.70;6.727
19.80;6.754
19.90;6.780
20.00;6.806
20.10;6.832
20.20;6.858
20.30;6.884
20.40;6.911
20.50;6.937
20.60;6.963
20.70;6.989
20.80;7.015
20.90;7.041
21.00;7.067
21.10;7.094
21.20;7.120
21.30;7.146
21.40;7.172
21.50;7.198
21.60;7.224
21.70;7.250
21.80;7.276
21.90;7.302
22.00;7.328
22.10;7.354
22.20;7.381
22.30;7.407
22.40;7.433
22.50;7.459
22.60;7.485
22.70;7.511
22.80;7.537
22.90;7.563
23.00;7.589
23.10;7.615
23.20;7.641
23.30;7.667
23.40;7.693
23.50;7.719
23.60;7.745
23.70;7.771
23.80;7.797
23.90;7.823
24.00;7.849
24.10;7.875
24.20;7.901
24.30;7.927
24.40;7.953
24.50;7.979
24.60;8.005
24.70;8.031
24.80;8.057
24.90;8.082
25.00;8.108
25.10;8.134
25.20;8.160
25.30;8.186
25.40;8.212
25.50;8.238
25.60;8.264
25.70;8.290
25.80;8.316
25.90;8.341
26.00;8.367
26.10;8.393
26.20;8.419
26.30;8.445
26.40;8.471
26.50;8.497
26.60;8.522
26.70;8.548
26.80;8.574
26.90;8.600
27.00;8.626
27.10;8.652
27.20;8.677
27.30;8.703
27.40;8.729
27.50;8.755
27.60;8.780
27.70;8.806
27.80;8.832
27.90;8.858
28.00;8.884
28.10;8.909
28.20;8.935
28.30;8.961
28.40;8.986
28.50;9.012
28.60;9.038
28.70;9.064
28.80;9.089
28.90;9.115
29.00;9.141
29.10;9.166
29.20;9.192
29.30;9.218
29.40;9.244
29.50;9.269
29.60;9.295
29.70;9.321
29.80;9.346
29.90;9.372
30.00;9.397
30.10;9.423
30.20;9.449
30.30;9.474
30.40;9.500
30.50;9.526
30.60;9.551
30.70;9.577
30.80;9.602
30.90;9.628
31.00;9.654
31.10;9.679
31.20;9.705
31.30;9.730
31.40;9.756
31.50;9.781
31.60;9.807
31.70;9.832
31.80;9.858
31.90;9.883
32.00;9.909
32.10;9.934
32.20;9.960
32.30;9.985
32.40;10.011
32.50;10.036
32.60;10.062
32.70;10.087
32.80;10.113
32.90;10.138
33.00;10.164
33.10;10.189
33.20;10.215
33.30;10.240
33.40;10.266
33.50;10.291
33.60;10.316
33.70;10.342
33.80;10.367
33.90;10.393
34.00;10.418
34.10;10.443
34.20;10.469
34.30;10.494
34.40;10.519
34.50;10.545
34.60;10.570
34.70;10.595
34.80;10.621
34.90;10.646
35.00;10.671
35.10;10.697
35.20;10.722
35.30;10.747
35.40;10.773
35.50;10.798
35.60;10.823
35.70;10.849
35.80;10.874
35.90;10.899
36.00;10.924
36.10;10.950
36.20;10.975
36.30;11.000
36.40;11.025
36.50;11.050
36.60;11.076
36.70;11.101
36.80;11.126
36.90;11.151
37.00;11.176
37.10;11.202
37.20;11.227
37.30;11.252
37.40;11.277
37.50;11.302
37.60;11.327
37.70;11.353
37.80;11.378
37.90;11.403
38.00;11.428
38.10;11.453
38.20;11.478
38.30;11.503
38.40;11.528
38.50;11.553
38.60;11.578
38.70;11.603
38.80;11.628
38.90;11.654
39.00;11.679
39.10;11.704
39.20;11.729
39.30;11.754
39.40;11.779
39.50;11.804
39.60;11.829
39.70;11.854
39.80;11.879
39.90;11.904
40.00;11.929
40.10;11.954
40.20;11.978
40.30;12.003
40.40;12.028
40.50;12.053
40.60;12.078
40.70;12.103
40.80;12.128
40.90;12.153
41.00;12.178
